,AUC_Ctot|Tumor,AUC_Ctot|Tumor+MSC,AUC_Ctot|Tumor+M2,AUC_Ctot|Tumor+MSC+M2
KT,0.8896461610828396,0.8573543615271667,0.5388960667656492,0.7256365513197983
Vmax,-0.02249147318211496,-0.024406149400066267,-0.03158314954464713,-0.011178059476725675
rho,-0.022833179457037535,-0.009002137082896862,-0.002833193942975895,-0.007806833699094199
rT,0.9973159597816693,0.9599307249074415,0.9330920501050266,0.9583458899857193
beta,-0.017809132242703595,0.02660152431544481,0.06454066761401767,-0.024514288465090933
KS,0.0,-0.6318976375175022,0.0,-0.5727372902237738
rS,0.0,0.8160235933402666,0.0,0.8222748196713476
dS,0.0,-0.7245234195290887,0.0,-0.7201923325933609
etaTS,0.0,0.8280080993154936,0.0,0.8117719951838032
etaST,0.0,0.5095723607154607,0.0,0.4366181054576051
aTS,0.0,0.016704828040040635,0.0,0.010185605720746943
KM,0.0,0.0,0.7074908144669944,0.564110955668684
rM,0.0,0.0,0.7007886826252263,-0.1810510320073701
dM,0.0,0.0,-0.05088767592982721,-0.013365837632598061
etaTM,0.0,0.0,0.5539986146075664,0.6277705948492545
etaMT,0.0,0.0,0.37684724213093584,-0.08061216265507672
aTM,0.0,0.0,-0.01875705694099453,0.011556575142251828
