,Ctot_final|Tumor,Ctot_final|Tumor+MSC,Ctot_final|Tumor+M2,Ctot_final|Tumor+MSC+M2
KT,0.8697109995428685,0.9081466529100641,0.43435101501261403,0.7345128209635287
Vmax,-0.022273720684713196,-0.030006427379557478,-0.023905369160231164,-0.04460992993960726
rho,-0.027416057381444543,0.00927008628272417,-0.02575808872908576,0.0010009152675773338
rT,0.990832193369114,0.8872645054768039,0.940994091726519,0.930336635154785
beta,-0.009369928814491163,0.022870003396283985,0.04874297881455693,-0.017317243018475797
KS,0.0,-0.40569784153506255,0.0,-0.44733521408703025
rS,0.0,0.726536377819201,0.0,0.7714632442636964
dS,0.0,-0.6176099515410639,0.0,-0.6417535808567206
etaTS,0.0,0.650745447884014,0.0,0.7231421239118648
etaST,0.0,0.5208327326934562,0.0,0.4651715873487873
aTS,0.0,0.0077174428145657436,0.0,-0.012138257687802459
KM,0.0,0.0,0.6724057433534092,0.3675689629039557
rM,0.0,0.0,0.010924129262485406,-0.5927181380556984
dM,0.0,0.0,0.015575343644126678,0.022828838594920665
etaTM,0.0,0.0,0.6177370608355311,0.5596723113247579
etaMT,0.0,0.0,0.1604144573232772,-0.3911040426193775
aTM,0.0,0.0,-0.03214246241016728,0.01811739755208838
